Title,Artist,Genre,Key,Difficulty,Year
Bohemian Rhapsody,Queen,Classic Rock,Bb,Advanced,1975
Stairway to Heaven,Led Zeppelin,Classic Rock,Am,Advanced,1971
Hotel California,Eagles,Classic Rock,Bm,Intermediate,1976
Sweet Child o Mine,Guns N Roses,Hard Rock,D,Advanced,1987
Back in Black,ACDC,Hard Rock,Em,Intermediate,1980
Highway to Hell,ACDC,Hard Rock,A,Intermediate,1979
Thunderstruck,ACDC,Hard Rock,B,Advanced,1990
Dream On,Aerosmith,Hard Rock,Fm,Advanced,1973
Walk This Way,Aerosmith,Hard Rock,E,Intermediate,1975
Imagine,John Lennon,Pop,C,Beginner,1971
Let It Be,The Beatles,Pop,C,Beginner,1970
Hey Jude,The Beatles,Classic Rock,F,Beginner,1968
Come Together,The Beatles,Classic Rock,Dm,Intermediate,1969
Something,The Beatles,Classic Rock,C,Intermediate,1969
Billie Jean,Michael Jackson,Pop,F#m,Intermediate,1983
Beat It,Michael Jackson,Pop,Em,Intermediate,1982
Purple Rain,Prince,Pop,Bb,Intermediate,1984
With or Without You,U2,Pop,D,Beginner,1987
One,U2,Pop,Am,Intermediate,1991
Wonderwall,Oasis,Indie,F#m,Beginner,1995
Dont Look Back in Anger,Oasis,Indie,C,Beginner,1996
Creep,Radiohead,Indie,G,Beginner,1992
Karma Police,Radiohead,Indie,Am,Intermediate,1997
Smells Like Teen Spirit,Nirvana,Hard Rock,Fm,Intermediate,1991
Come As You Are,Nirvana,Hard Rock,Em,Intermediate,1991
Enter Sandman,Metallica,Metal,Em,Intermediate,1991
Master of Puppets,Metallica,Metal,Em,Advanced,1986
Nothing Else Matters,Metallica,Metal,Em,Intermediate,1992
Paranoid,Black Sabbath,Metal,Em,Intermediate,1970
Iron Man,Black Sabbath,Metal,Bm,Intermediate,1970
Crazy Train,Ozzy Osbourne,Metal,F#m,Advanced,1980
Run to the Hills,Iron Maiden,Metal,Em,Advanced,1982
The Trooper,Iron Maiden,Metal,Em,Advanced,1983
Breaking the Law,Judas Priest,Metal,Am,Intermediate,1980
Ace of Spades,Motorhead,Metal,Em,Advanced,1980
Take Me Home Country Roads,John Denver,Country,A,Beginner,1971
Ring of Fire,Johnny Cash,Country,G,Beginner,1963
Folsom Prison Blues,Johnny Cash,Country,E,Beginner,1955
Jolene,Dolly Parton,Country,C#m,Intermediate,1973
