Title,Artist,Genre,Key,Difficulty,Year,Chords
Bohemian Rhapsody,Queen,Classic Rock,Bb,Advanced,1975,Bb:Gm:Eb:F:Cm:Ab:Db
Stairway to Heaven,Led Zeppelin,Classic Rock,Am,Advanced,1971,Am:G:F:C:D:Em:Fmaj7
Hotel California,Eagles,Classic Rock,Bm,Intermediate,1976,Bm:F#:A:E:G:D:Em
Sweet Child o Mine,Guns N Roses,Hard Rock,D,Advanced,1987,D:C:G:Am
Back in Black,ACDC,Hard Rock,Em,Intermediate,1980,Em:D:A:E
Highway to Hell,ACDC,Hard Rock,A,Intermediate,1979,A:D:G
Thunderstruck,ACDC,Hard Rock,B,Advanced,1990,B:A:E:D
Dream On,Aerosmith,Hard Rock,Fm,Advanced,1973,Fm:C:Db:Ab:Eb:Bb
Walk This Way,Aerosmith,Hard Rock,E,Intermediate,1975,E:A:D:B
Imagine,John Lennon,Pop,C,Beginner,1971,C:Cmaj7:F:Am:Dm:G
Let It Be,The Beatles,Pop,C,Beginner,1970,C:G:Am:F:Em:Dm
Hey Jude,The Beatles,Classic Rock,F,Beginner,1968,F:C:Bb:Eb
Come Together,The Beatles,Classic Rock,Dm,Intermediate,1969,Dm:A:G:Bm
Something,The Beatles,Classic Rock,C,Intermediate,1969,C:Cmaj7:F:D:G:Am
Billie Jean,Michael Jackson,Pop,F#m,Intermediate,1983,F#m:B:C#m:E
Beat It,Michael Jackson,Pop,Em,Intermediate,1982,Em:D:C:B
Purple Rain,Prince,Pop,Bb,Intermediate,1984,Bb:Eb:F:Gm:Cm
With or Without You,U2,Pop,D,Beginner,1987,D:A:Bm:G
One,U2,Pop,Am,Intermediate,1991,Am:Dsus2:Fmaj7:C:G:Em
Wonderwall,Oasis,Indie,F#m,Beginner,1995,Em7:G:Dsus4:A7sus4:Cadd9
Dont Look Back in Anger,Oasis,Indie,C,Beginner,1996,C:G:Am:E:F:Fm
Creep,Radiohead,Indie,G,Beginner,1992,G:B:C:Cm
Karma Police,Radiohead,Indie,Am,Intermediate,1997,Am:Em:G:D:F:C:Bm:E
Smells Like Teen Spirit,Nirvana,Hard Rock,Fm,Intermediate,1991,F:Bb:Ab:Db
Come As You Are,Nirvana,Hard Rock,Em,Intermediate,1991,Em:Am:C:G:D
Enter Sandman,Metallica,Metal,Em,Intermediate,1991,Em:G:F#:E
Master of Puppets,Metallica,Metal,Em,Advanced,1986,Em:F:C:Eb:D:B
Nothing Else Matters,Metallica,Metal,Em,Intermediate,1992,Em:Am:C:D:G:B
Paranoid,Black Sabbath,Metal,Em,Intermediate,1970,Em:D:C:Eb
Iron Man,Black Sabbath,Metal,Bm,Intermediate,1970,Bm:D:E:G:A
Crazy Train,Ozzy Osbourne,Metal,F#m,Advanced,1980,F#m:A:E:D:B
Run to the Hills,Iron Maiden,Metal,Em,Advanced,1982,Em:D:A:G:C:B
The Trooper,Iron Maiden,Metal,Em,Advanced,1983,Em:D:A:G:B
Breaking the Law,Judas Priest,Metal,Am,Intermediate,1980,Am:G:F:E
Ace of Spades,Motorhead,Metal,Em,Advanced,1980,Em:A:G:D:C
Take Me Home Country Roads,John Denver,Country,A,Beginner,1971,A:E:D:Bm:G
Ring of Fire,Johnny Cash,Country,G,Beginner,1963,G:C:D
Folsom Prison Blues,Johnny Cash,Country,E,Beginner,1955,E:A:B7
Jolene,Dolly Parton,Country,C#m,Intermediate,1973,C#m:E:B:A
The Gambler,Kenny Rogers,Country,C,Beginner,1978,C:F:G
Friends in Low Places,Garth Brooks,Country,A,Beginner,1990,A:Bm:E:D
On the Road Again,Willie Nelson,Country,E,Beginner,1980,E:A:B7
Take Five,Dave Brubeck,Jazz,Ebm,Advanced,1959,Ebm:Bbm:Gb:Db:Ab
So What,Miles Davis,Jazz,Dm,Advanced,1959,Dm:Ebm
Autumn Leaves,Cannonball Adderley,Jazz,Gm,Intermediate,1958,Gm:Cm:F:Bb:Eb:Am:D
Fly Me to the Moon,Frank Sinatra,Jazz,C,Intermediate,1964,Am:Dm:G7:Cmaj7:Fmaj7:E7
What a Wonderful World,Louis Armstrong,Jazz,F,Beginner,1967,F:Gm:Am:Bb:C7:Dm
Georgia on My Mind,Ray Charles,Jazz,F,Intermediate,1960,F:A7:Dm:Gm:C7:Bb:Bbm
Respect,Aretha Franklin,R&B,C,Intermediate,1967,C:F:G:Bb
Superstition,Stevie Wonder,R&B,Ebm,Intermediate,1972,Ebm:Ab:Gb:Db
I Heard It Through the Grapevine,Marvin Gaye,R&B,Ebm,Intermediate,1968,Ebm:B:Bbm:Ab:Db
Aint No Sunshine,Bill Withers,R&B,Am,Beginner,1971,Am:Em:G:Dm
Lets Stay Together,Al Green,R&B,Fm,Intermediate,1971,Fm:Bb:Eb:Ab:Db
My Girl,The Temptations,R&B,C,Beginner,1964,C:F:G:Dm:Am
Every Breath You Take,The Police,Pop,A,Beginner,1983,A:F#m:D:E:G
Africa,Toto,Pop,B,Intermediate,1982,C#m:B:A:E:F#m:G#m
September,Earth Wind and Fire,R&B,A,Intermediate,1978,A:D:E:Bm:G
Shape of You,Ed Sheeran,Pop,C#m,Beginner,2017,C#m:F#m:A:B
Rolling in the Deep,Adele,Pop,Cm,Intermediate,2010,Cm:Eb:G:Ab:Bb:Fm
Blinding Lights,The Weeknd,Pop,Fm,Intermediate,2019,Fm:Ab:Eb:Bb:Cm:Db
Seven Nation Army,The White Stripes,Indie,Em,Beginner,2003,E:G:A:C:B
Mr Brightside,The Killers,Indie,D,Intermediate,2003,D:A:Bm:G:F#m:E
Use Somebody,Kings of Leon,Indie,C,Intermediate,2008,C:G:Am:F
